,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2700,Dante Pettis,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2701,Ian Book,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2702,Mataeo Durant,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2703,Jalen Wydermyer,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2704,Damien Williams,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2705,Chris Carson,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2706,Shi Smith,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2707,N'Keal Harry,Min,WR,L 24-28,0,,,,,,,,,,,,,,,,,LAC,Home,9/26/2023
2708,Darrynton Evans,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2709,Braylon Sanders,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2710,Josh Adams,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2711,Andy Isabella,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2712,O.J. Howard,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2713,DeSean Jackson,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2714,Shane Buechele,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2715,Ethan Fernea,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2716,Ethan Wolf,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2717,Benny Snell Jr.,FA,RB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2718,Chris Oladokun,FA,QB,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2719,Kyle Rudolph,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2720,J.J. Arcega-Whiteside,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2721,SSPD,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2722,Greg Ward,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2723,Lucas Krull,FA,TE,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
2724,Willie Snead IV,SF,WR,W 30-12,0,,,,,,,,,,,,,,,,,NYG,Home,9/26/2023
2725,Hakeem Butler,FA,WR,,,,,,,,,,,,,,,,,,,,Home,9/26/2023
