,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
0,Tyreek Hill,Mia,WR,W 36-34,20.5,0,0,0,0,0,0,11,215,2,15,0,0,0,44.5,0,0,LAC,Away,9/12/2023
1,Brandon Aiyuk,SF,WR,W 30-7,10.6,0,0,0,0,0,0,8,129,2,8,0,0,0,32.9,0,0,Pit,Away,9/12/2023
2,Jakobi Meyers,LV,WR,W 17-16,10.9,0,0,0,0,0,0,9,81,2,10,0,0,0,29.1,0,0,Den,Away,9/12/2023
3,Tua Tagovailoa,Mia,QB,W 36-34,17.6,466,3,1,5,5,0,0,0,0,0,0,1,0,27.14,28,45,LAC,Away,9/12/2023
4,Aaron Jones,GB,RB,W 38-20,15.5,0,0,0,9,41,1,2,86,1,4,0,0,0,26.7,0,0,Chi,Away,9/12/2023
5,Austin Ekeler,LAC,RB,L 34-36,17.9,0,0,0,16,117,1,4,47,0,5,0,0,0,26.4,0,0,Mia,Home,9/12/2023
6,Stefon Diggs,Buf,WR,L 16-22,16,0,0,0,0,0,0,10,102,1,13,0,0,0,26.2,0,0,NYJ,Away,9/12/2023
7,Christian McCaffrey,SF,RB,W 30-7,17.3,0,0,0,22,152,1,3,17,0,5,0,0,0,25.9,0,0,Pit,Away,9/12/2023
8,Tyler Allgeier,Atl,RB,W 24-10,8.8,0,0,0,15,75,2,3,19,0,3,0,0,0,24.4,0,0,Car,Home,9/12/2023
9,Kendrick Bourne,NE,WR,L 20-25,10,0,0,0,0,0,0,6,64,2,11,0,0,0,24.4,0,0,Phi,Home,9/12/2023
10,Mac Jones,NE,QB,L 20-25,14.7,316,3,1,2,15,0,0,0,0,0,0,0,0,24.14,35,54,Phi,Home,9/12/2023
11,Calvin Ridley,Jax,WR,W 31-21,14.2,0,0,0,0,0,0,8,101,1,11,0,0,0,24.1,0,0,Ind,Away,9/12/2023
12,Justin Jefferson,Min,WR,L 17-20,20.1,0,0,0,0,0,0,9,150,0,12,0,0,0,24,0,0,TB,Home,9/12/2023
13,Michael Pittman Jr.,Ind,WR,L 21-31,12,0,0,0,0,0,0,8,97,1,11,0,0,0,23.7,0,0,Jax,Home,9/12/2023
14,Jordan Love,GB,QB,W 38-20,14.8,245,3,0,3,12,0,0,0,0,0,0,0,0,23,15,27,Chi,Away,9/12/2023
15,Tony Pollard,Dal,RB,W 40-0,17.5,0,0,0,14,70,2,2,12,0,3,0,0,0,22.2,0,0,NYG,Away,9/12/2023
16,Puka Nacua,LAR,WR,W 30-13,8.4,0,0,0,0,0,0,10,119,0,15,0,0,0,21.9,0,0,Sea,Away,9/12/2023
17,Travis Etienne Jr.,Jax,RB,W 31-21,15.1,0,0,0,18,77,1,5,27,0,5,0,0,0,21.4,0,0,Ind,Away,9/12/2023
18,Anthony Richardson,Ind,QB,L 21-31,17.2,223,1,1,10,40,1,0,0,0,0,0,0,0,20.92,24,37,Jax,Home,9/12/2023
19,Justin Herbert,LAC,QB,L 34-36,16.9,229,1,0,5,17,1,0,0,0,0,0,0,0,20.86,23,33,Mia,Home,9/12/2023
20,Deshaun Watson,Cle,QB,W 24-3,18.5,154,1,1,5,45,1,0,0,0,0,0,0,0,20.66,16,29,Cin,Home,9/12/2023
21,Bijan Robinson,Atl,RB,W 24-10,17.8,0,0,0,10,56,0,6,27,1,6,0,0,0,20.3,0,0,Car,Home,9/12/2023
22,Patrick Mahomes,KC,QB,L 20-21,24.7,226,2,1,6,45,0,0,0,0,0,0,0,0,19.54,21,39,Det,Home,9/12/2023
23,Chris Olave,NO,WR,W 16-15,14.4,0,0,0,0,0,0,8,112,0,10,0,0,0,19.2,0,0,Ten,Home,9/12/2023
24,Amon-Ra St. Brown,Det,WR,W 21-20,16.7,0,0,0,0,0,0,6,71,1,9,0,0,0,19.1,0,0,KC,Away,9/12/2023
25,Rashid Shaheed,NO,WR,W 16-15,6,0,0,0,2,11,0,5,89,1,6,0,1,0,19,0,0,Ten,Home,9/12/2023
26,Mike Evans,TB,WR,W 20-17,13.8,0,0,0,0,0,0,6,66,1,10,0,0,0,18.6,0,0,Min,Away,9/12/2023
27,Romeo Doubs,GB,WR,W 38-20,9.9,0,0,0,0,0,0,4,26,2,5,0,0,0,18.6,0,0,Chi,Away,9/12/2023
28,Tutu Atwell,LAR,WR,W 30-13,9.3,0,0,0,0,0,0,6,119,0,8,0,0,0,17.9,0,0,Sea,Away,9/12/2023
29,Trevor Lawrence,Jax,QB,W 31-21,18.5,241,2,1,7,21,0,0,0,0,0,0,0,0,17.74,24,32,Ind,Away,9/12/2023
30,Zay Flowers,Bal,WR,W 25-9,9.9,0,0,0,2,9,0,9,78,0,10,0,0,0,17.7,0,0,Hou,Home,9/12/2023
31,DeVonta Smith,Phi,WR,W 25-20,14,0,0,0,0,0,0,7,47,1,10,0,0,0,17.7,0,0,NE,Away,9/12/2023
32,Roschon Johnson,Chi,RB,L 20-38,2.2,0,0,0,5,20,1,6,35,0,7,0,0,0,17.5,0,0,GB,Home,9/12/2023
33,Kyren Williams,LAR,RB,W 30-13,6.1,0,0,0,15,52,2,0,2,0,2,0,0,0,17.4,0,0,Sea,Away,9/12/2023
34,Brock Purdy,SF,QB,W 30-7,13.8,220,2,0,3,20,0,0,0,0,0,0,1,0,16.8,19,29,Pit,Away,9/12/2023
35,Nick Chubb,Cle,RB,W 24-3,15.5,0,0,0,18,106,0,4,21,0,4,0,0,0,16.7,0,0,Cin,Home,9/12/2023
36,Hunter Henry,NE,TE,L 20-25,6.5,0,0,0,0,0,0,5,56,1,6,0,0,0,16.6,0,0,Phi,Home,9/12/2023
37,Zay Jones,Jax,WR,W 31-21,8.7,0,0,0,0,0,0,5,55,1,7,0,0,0,16.5,0,0,Ind,Away,9/12/2023
38,Kirk Cousins,Min,QB,L 17-20,17.4,344,2,1,3,7,0,0,0,0,0,0,2,0,16.46,33,44,TB,Home,9/12/2023
39,Jordan Addison,Min,WR,L 17-20,9.4,0,0,0,0,0,0,4,61,1,6,0,0,0,16.1,0,0,TB,Home,9/12/2023
40,Baker Mayfield,TB,QB,W 20-17,14.7,173,2,0,8,11,0,0,0,0,0,0,0,0,16.02,21,34,Min,Away,9/12/2023
41,Breece Hall,NYJ,RB,W 22-16,7.5,0,0,0,10,127,0,1,20,0,2,0,0,0,15.7,0,0,Buf,Home,9/12/2023
42,Darnell Mooney,Chi,WR,L 20-38,9.2,0,0,0,0,0,0,4,53,1,7,0,0,0,15.3,0,0,GB,Home,9/12/2023
43,Russell Wilson,Den,QB,L 16-17,18.6,177,2,0,1,1,0,0,0,0,0,0,0,0,15.18,27,34,LV,Home,9/12/2023
44,Sam Howell,Wsh,QB,W 20-16,16.6,202,1,1,2,11,1,0,0,0,0,0,1,0,15.18,19,31,Ari,Home,9/12/2023
45,Hayden Hurst,Car,TE,L 10-24,6.8,0,0,0,0,0,0,5,41,1,7,0,0,0,15.1,0,0,Atl,Away,9/12/2023
46,Joshua Kelley,LAC,RB,L 34-36,5.9,0,0,0,16,91,1,0,0,0,1,0,0,0,15.1,0,0,Mia,Home,9/12/2023
47,Jimmy Garoppolo,LV,QB,W 17-16,15.4,200,2,1,9,11,0,0,0,0,0,0,0,0,15.1,20,26,Den,Away,9/12/2023
48,A.J. Brown,Phi,WR,W 25-20,14.6,0,0,0,0,0,0,7,79,0,10,0,0,0,14.9,0,0,NE,Away,9/12/2023
49,Rhamondre Stevenson,NE,RB,L 20-25,15.1,0,0,0,12,25,0,6,64,0,6,0,0,0,14.9,0,0,Phi,Home,9/12/2023
50,Derek Carr,NO,QB,W 16-15,14.8,305,1,1,3,4,0,0,0,0,0,0,0,0,14.6,23,33,Ten,Home,9/12/2023
51,Justin Fields,Chi,QB,L 20-38,19.5,216,1,1,9,59,0,0,0,0,0,0,1,0,14.54,24,37,GB,Home,9/12/2023
52,Matthew Stafford,LAR,QB,W 30-13,16.2,334,0,0,3,11,0,0,0,0,0,0,0,0,14.46,24,38,Sea,Away,9/12/2023
53,Garrett Wilson,NYJ,WR,W 22-16,16.4,0,0,0,0,0,0,5,34,1,5,0,0,0,14.4,0,0,Buf,Home,9/12/2023
54,Keenan Allen,LAC,WR,L 34-36,14.1,0,0,0,2,6,0,6,76,0,9,0,0,0,14.2,0,0,Mia,Home,9/12/2023
55,Jared Goff,Det,QB,W 21-20,15.8,253,1,0,5,-1,0,0,0,0,0,0,0,0,14.02,22,35,KC,Away,9/12/2023
56,Nico Collins,Hou,WR,L 9-25,10.1,0,0,0,0,0,0,6,80,0,11,0,0,0,14,0,0,Bal,Away,9/12/2023
57,Derrick Henry,Ten,RB,L 15-16,17.1,0,0,0,15,63,0,2,56,0,3,0,0,0,13.9,0,0,NO,Away,9/12/2023
58,DK Metcalf,Sea,WR,L 13-30,15.6,0,0,0,0,0,0,3,47,1,5,0,0,0,13.7,0,0,LAR,Home,9/12/2023
59,Brian Robinson Jr.,Wsh,RB,W 20-16,11.3,0,0,0,19,59,0,1,7,1,2,0,0,0,13.6,0,0,Ari,Home,9/12/2023
60,DeAndre Hopkins,Ten,WR,L 15-16,13.5,0,0,0,0,0,0,7,65,0,13,0,0,0,13.5,0,0,NO,Away,9/12/2023
61,Alexander Mattison,Min,RB,L 17-20,14.4,0,0,0,11,34,0,3,10,1,4,0,0,0,13.4,0,0,TB,Home,9/12/2023
62,David Montgomery,Det,RB,W 21-20,12.3,0,0,0,21,74,1,0,0,0,0,0,0,0,13.4,0,0,KC,Away,9/12/2023
63,Courtland Sutton,Den,WR,L 16-17,13.1,0,0,0,0,0,0,4,32,1,5,0,0,0,13.2,0,0,LV,Home,9/12/2023
64,Raheem Mostert,Mia,RB,W 36-34,12.8,0,0,0,10,37,1,2,13,0,2,0,0,0,13,0,0,LAC,Away,9/12/2023
65,River Cracraft,Mia,WR,W 36-34,0.6,0,0,0,0,0,0,3,40,1,5,0,0,0,13,0,0,LAC,Away,9/12/2023
66,Justice Hill,Bal,RB,W 25-9,3.1,0,0,0,8,9,2,0,0,0,0,0,0,0,12.9,0,0,Hou,Home,9/12/2023
67,Davante Adams,LV,WR,W 17-16,19,0,0,0,0,0,0,6,66,0,9,0,0,0,12.6,0,0,Den,Away,9/12/2023
68,Jalen Hurts,Phi,QB,W 25-20,21.3,170,1,0,9,37,0,0,0,0,0,0,1,0,12.5,22,33,NE,Away,9/12/2023
69,James Conner,Ari,RB,L 16-20,14.9,0,0,0,14,62,0,5,8,0,5,0,0,0,12,0,0,Wsh,Away,9/12/2023
70,Josh Reynolds,Det,WR,W 21-20,5.7,0,0,0,0,0,0,4,80,0,7,0,0,0,12,0,0,KC,Away,9/12/2023
71,Jaylen Waddle,Mia,WR,W 36-34,15.3,0,0,0,0,0,0,4,78,0,5,0,0,0,11.8,0,0,LAC,Away,9/12/2023
72,Miles Sanders,Car,RB,L 10-24,14.2,0,0,0,18,72,0,4,26,0,6,0,1,0,11.8,0,0,Atl,Away,9/12/2023
73,Samaje Perine,Den,RB,L 16-17,11.5,0,0,0,8,41,0,4,37,0,4,0,0,0,11.8,0,0,LV,Home,9/12/2023
74,CeeDee Lamb,Dal,WR,W 40-0,17.7,0,0,0,0,0,0,4,77,0,4,0,0,0,11.7,0,0,NYG,Away,9/12/2023
75,J.K. Dobbins,Bal,RB,W 25-9,12.7,0,0,0,8,22,1,2,15,0,3,0,0,0,11.7,0,0,Hou,Home,9/12/2023
76,Robert Woods,Hou,WR,L 9-25,7.4,0,0,0,0,0,0,6,57,0,10,0,0,0,11.7,0,0,Bal,Away,9/12/2023
77,Rashee Rice,KC,WR,L 20-21,5.1,0,0,0,1,-3,0,3,29,1,5,0,0,0,11.6,0,0,Det,Home,9/12/2023
78,T.J. Hockenson,Min,TE,L 17-20,12.5,0,0,0,0,0,0,8,35,0,9,0,0,0,11.5,0,0,TB,Home,9/12/2023
79,Khalil Herbert,Chi,RB,L 20-38,11.4,0,0,0,9,27,0,3,37,0,5,0,0,0,11.4,0,0,GB,Home,9/12/2023
80,Kenneth Gainwell,Phi,RB,W 25-20,8.9,0,0,0,14,54,0,4,20,0,4,0,0,0,11.4,0,0,NE,Away,9/12/2023
81,Allen Robinson II,Pit,WR,L 7-30,5.8,0,0,0,0,0,0,5,64,0,8,0,0,0,11.4,0,0,SF,Home,9/12/2023
82,Deebo Samuel,SF,WR,W 30-7,14.2,0,0,0,2,8,0,5,55,0,7,0,0,0,11.3,0,0,Pit,Away,9/12/2023
83,Donald Parham Jr.,LAC,TE,L 34-36,3.3,0,0,0,0,0,0,3,22,1,3,0,0,0,11.2,0,0,Mia,Home,9/12/2023
84,Michael Thomas,NO,WR,W 16-15,12.2,0,0,0,0,0,0,5,61,0,8,0,0,0,11.1,0,0,Ten,Home,9/12/2023
85,Curtis Samuel,Wsh,WR,W 20-16,8.3,0,0,0,1,6,0,5,54,0,5,0,0,0,11,0,0,Ari,Home,9/12/2023
86,Kenneth Walker III,Sea,RB,L 13-30,14.5,0,0,0,12,64,0,4,3,0,5,0,0,0,10.7,0,0,LAR,Home,9/12/2023
87,C.J. Stroud,Hou,QB,L 9-25,12.9,242,0,0,4,20,0,1,0,0,1,0,1,0,10.68,28,44,Bal,Away,9/12/2023
88,KaVontae Turpin,Dal,WR,W 40-0,1,0,0,0,3,14,1,2,11,0,3,0,0,0,10.5,0,0,NYG,Away,9/12/2023
89,Joe Mixon,Cin,RB,L 3-24,14.8,0,0,0,13,56,0,3,17,0,5,0,0,0,10.3,0,0,Cle,Away,9/12/2023
90,James Cook,Buf,RB,L 16-22,12.3,0,0,0,12,46,0,4,17,0,6,0,0,0,10.3,0,0,NYJ,Away,9/12/2023
91,Chris Godwin,TB,WR,W 20-17,14.1,0,0,0,0,0,0,5,51,0,6,0,0,0,10.1,0,0,Min,Away,9/12/2023
92,Evan Engram,Jax,TE,W 31-21,9.9,0,0,0,0,0,0,5,49,0,5,0,0,0,9.9,0,0,Ind,Away,9/12/2023
93,Nick Westbrook-Ikhine,Ten,WR,L 15-16,4.9,0,0,0,0,0,0,4,58,0,7,0,0,0,9.8,0,0,NO,Away,9/12/2023
94,Javonte Williams,Den,RB,L 16-17,11.1,0,0,0,13,52,0,4,5,0,6,0,0,0,9.7,0,0,LV,Home,9/12/2023
95,Calvin Austin III,Pit,WR,L 7-30,1.2,0,0,0,0,0,0,6,37,0,6,0,0,0,9.7,0,0,SF,Home,9/12/2023
96,Kenny Pickett,Pit,QB,L 7-30,14.4,232,1,2,1,4,0,0,0,0,0,0,0,0,9.68,31,46,SF,Home,9/12/2023
97,Isiah Pacheco,KC,RB,L 20-21,11.5,0,0,0,8,23,0,4,31,0,4,0,0,0,9.4,0,0,Det,Home,9/12/2023
98,Cole Kmet,Chi,TE,L 20-38,8.5,0,0,0,1,0,0,5,44,0,7,0,0,0,9.4,0,0,GB,Home,9/12/2023
99,Saquon Barkley,NYG,RB,L 0-40,16.9,0,0,0,12,51,0,3,12,0,4,0,0,0,9.3,0,0,Dal,Home,9/12/2023
100,Elijah Moore,Cle,WR,W 24-3,8.5,0,0,0,2,19,0,3,43,0,7,0,0,0,9.2,0,0,Cin,Home,9/12/2023
101,Blake Bell,KC,TE,L 20-21,4.7,0,0,0,0,0,0,2,12,1,3,0,0,0,9.2,0,0,Det,Home,9/12/2023
102,Ja'Marr Chase,Cin,WR,L 3-24,20.4,0,0,0,1,2,0,5,39,0,9,0,0,0,9.1,0,0,Cle,Away,9/12/2023
103,Josh Jacobs,LV,RB,W 17-16,16.5,0,0,0,19,48,0,2,23,0,3,0,0,0,9.1,0,0,Den,Away,9/12/2023
104,Lil'Jordan Humphrey,Den,WR,L 16-17,1.6,0,0,0,0,0,0,2,11,1,2,0,0,0,9.1,0,0,LV,Home,9/12/2023
105,Geno Smith,Sea,QB,L 13-30,19.2,112,1,0,1,6,0,0,0,0,0,0,0,0,9.08,16,26,LAR,Home,9/12/2023
106,Josh Allen,Buf,QB,L 16-22,21.1,236,1,3,6,36,0,0,0,0,0,0,1,0,9.04,29,41,NYJ,Away,9/12/2023
107,Jahan Dotson,Wsh,WR,W 20-16,11.2,0,0,0,0,0,0,5,40,0,7,0,0,0,9,0,0,Ari,Home,9/12/2023
108,Sam LaPorta,Det,TE,W 21-20,7.4,0,0,0,0,0,0,5,39,0,5,0,0,0,8.9,0,0,KC,Away,9/12/2023
109,Dalvin Cook,NYJ,RB,W 22-16,12,0,0,0,13,33,0,3,26,0,3,0,0,0,8.9,0,0,Buf,Home,9/12/2023
110,Cam Akers,Min,RB,L 17-20,13.5,0,0,0,22,29,1,0,0,0,0,0,0,0,8.9,0,0,TB,Home,9/12/2023
111,Chuba Hubbard,Car,RB,L 10-24,5.9,0,0,0,9,60,0,2,9,0,2,0,0,0,8.9,0,0,Atl,Away,9/12/2023
112,Desmond Ridder,Atl,QB,W 24-10,12.8,115,1,0,1,-1,0,1,-6,0,1,0,0,0,8.9,15,18,Car,Home,9/12/2023
113,Trey Palmer,TB,WR,W 20-17,2.7,0,0,0,0,0,0,2,8,1,3,0,0,0,8.8,0,0,Min,Away,9/12/2023
114,Marquise Brown,Ari,WR,L 16-20,12.6,0,0,0,1,29,0,3,28,0,5,0,0,0,8.7,0,0,Wsh,Away,9/12/2023
115,George Pickens,Pit,WR,L 7-30,10.8,0,0,0,0,0,0,5,36,0,7,0,0,0,8.6,0,0,SF,Home,9/12/2023
116,Mike Williams,LAC,WR,L 34-36,12.8,0,0,0,0,0,0,4,45,0,5,0,0,0,8.5,0,0,Mia,Home,9/12/2023
117,Harrison Bryant,Cle,TE,W 24-3,2.2,0,0,0,0,0,0,2,5,1,2,0,0,0,8.5,0,0,Cin,Home,9/12/2023
118,Adam Trautman,Den,TE,L 16-17,2.2,0,0,0,0,0,0,5,34,0,5,0,0,0,8.4,0,0,LV,Home,9/12/2023
119,Logan Thomas,Wsh,TE,W 20-16,7.1,0,0,0,0,0,0,4,43,0,8,0,0,0,8.3,0,0,Ari,Home,9/12/2023
120,Zach Wilson,NYJ,QB,W 22-16,0,140,1,1,4,6,0,0,0,0,0,0,0,0,8.2,14,21,Buf,Home,9/12/2023
121,Zach Ertz,Ari,TE,L 16-20,6.2,0,0,0,0,0,0,6,21,0,10,0,0,0,8.1,0,0,Wsh,Away,9/12/2023
122,Jahmyr Gibbs,Det,RB,W 21-20,14,0,0,0,7,42,0,2,18,0,2,0,0,0,8,0,0,KC,Away,9/12/2023
123,Luke Musgrave,GB,TE,W 38-20,6.7,0,0,0,0,0,0,3,50,0,4,0,0,0,8,0,0,Chi,Away,9/12/2023
124,Demario Douglas,NE,WR,L 20-25,6.9,0,0,0,0,0,0,4,40,0,7,0,0,0,8,0,0,Phi,Home,9/12/2023
125,Tyler Higbee,LAR,TE,W 30-13,11.8,0,0,0,0,0,0,3,49,0,3,0,0,0,7.9,0,0,Sea,Away,9/12/2023
126,Kylen Granson,Ind,TE,L 21-31,3.5,0,0,0,0,0,0,4,39,0,6,0,0,0,7.9,0,0,Jax,Home,9/12/2023
127,Diontae Johnson,Pit,WR,L 7-30,13.2,0,0,0,0,0,0,3,48,0,6,0,0,0,7.8,0,0,SF,Home,9/12/2023
128,Bryce Young,Car,QB,L 10-24,14.1,146,1,2,3,17,0,0,0,0,0,0,0,0,7.54,20,38,Atl,Away,9/12/2023
129,Rondale Moore,Ari,WR,L 16-20,8.9,0,0,0,2,12,0,3,33,0,3,0,0,0,7.5,0,0,Wsh,Away,9/12/2023
130,Durham Smythe,Mia,TE,W 36-34,4.8,0,0,0,0,0,0,3,44,0,7,0,0,0,7.4,0,0,LAC,Away,9/12/2023
131,JuJu Smith-Schuster,NE,WR,L 20-25,10.8,0,0,0,0,0,0,4,33,0,7,0,0,0,7.3,0,0,Phi,Home,9/12/2023
132,Ezekiel Elliott,NE,RB,L 20-25,7.6,0,0,0,7,29,0,5,14,0,7,0,1,0,7.3,0,0,Phi,Home,9/12/2023
133,Pat Freiermuth,Pit,TE,L 7-30,9.5,0,0,0,0,0,0,1,3,1,4,0,0,0,7.3,0,0,SF,Home,9/12/2023
134,Jamaal Williams,NO,RB,W 16-15,14.5,0,0,0,18,45,0,2,7,0,2,0,0,0,7.2,0,0,Ten,Home,9/12/2023
135,Braxton Berrios,Mia,WR,W 36-34,5,0,0,0,0,0,0,3,42,0,5,0,0,0,7.2,0,0,LAC,Away,9/12/2023
136,Rachaad White,TB,RB,W 20-17,13.9,0,0,0,17,39,0,2,10,0,2,0,0,0,6.9,0,0,Min,Away,9/12/2023
137,Jaylen Warren,Pit,RB,L 7-30,6.7,0,0,0,3,6,0,5,12,0,6,0,0,0,6.8,0,0,SF,Home,9/12/2023
138,Marquez Valdes-Scantling,KC,WR,L 20-21,9.5,0,0,0,0,0,0,2,48,0,2,0,0,0,6.8,0,0,Det,Home,9/12/2023
139,Amari Cooper,Cle,WR,W 24-3,13.6,0,0,0,0,0,0,3,37,0,7,0,0,0,6.7,0,0,Cin,Home,9/12/2023
140,Dameon Pierce,Hou,RB,L 9-25,13.6,0,0,0,11,38,0,2,9,0,3,0,0,0,6.7,0,0,Bal,Away,9/12/2023
141,Allen Lazard,NYJ,WR,W 22-16,9.4,0,0,0,0,0,0,2,46,0,4,0,0,0,6.6,0,0,Buf,Home,9/12/2023
142,Jayden Reed,GB,WR,W 38-20,9.5,0,0,0,1,-2,0,2,48,0,5,0,0,0,6.6,0,0,Chi,Away,9/12/2023
143,Darren Waller,NYG,TE,L 0-40,12.1,0,0,0,0,0,0,3,36,0,5,0,0,0,6.6,0,0,Dal,Home,9/12/2023
144,Dalton Kincaid,Buf,TE,L 16-22,6.7,0,0,0,0,0,0,4,26,0,4,0,0,0,6.6,0,0,NYJ,Away,9/12/2023
145,Juwan Johnson,NO,TE,W 16-15,8,0,0,0,0,0,0,3,36,0,5,0,0,0,6.6,0,0,Ten,Home,9/12/2023
146,Mike Gesicki,NE,TE,L 20-25,7.2,0,0,0,0,0,0,3,36,0,3,0,0,0,6.6,0,0,Phi,Home,9/12/2023
147,Lamar Jackson,Bal,QB,W 25-9,22.5,169,0,1,6,38,0,0,0,0,0,0,1,0,6.56,17,22,Hou,Home,9/12/2023
148,Rashod Bateman,Bal,WR,W 25-9,7,0,0,0,0,0,0,3,35,0,3,0,0,0,6.5,0,0,Hou,Home,9/12/2023
149,Justin Watson,KC,WR,L 20-21,2.8,0,0,0,0,0,0,2,45,0,4,0,0,0,6.5,0,0,Det,Home,9/12/2023
150,Kyle Pitts,Atl,TE,W 24-10,10.1,0,0,0,0,0,0,2,44,0,3,0,0,0,6.4,0,0,Car,Home,9/12/2023
151,Tank Dell,Hou,WR,L 9-25,4.9,0,0,0,0,0,0,3,34,0,4,0,0,0,6.4,0,0,Bal,Away,9/12/2023
152,Van Jefferson,LAR,WR,W 30-13,10.8,0,0,0,0,0,0,4,24,0,5,0,0,0,6.4,0,0,Sea,Away,9/12/2023
153,Dak Prescott,Dal,QB,W 40-0,18.4,143,0,0,1,6,0,0,0,0,0,0,0,0,6.32,13,24,NYG,Away,9/12/2023
154,Josh Oliver,Min,TE,L 17-20,1.8,0,0,0,0,0,0,3,32,0,3,0,0,0,6.2,0,0,TB,Home,9/12/2023
155,K.J. Osborn,Min,WR,L 17-20,7.9,0,0,0,0,0,0,3,31,0,6,0,0,0,6.1,0,0,TB,Home,9/12/2023
156,Noah Gray,KC,TE,L 20-21,7,0,0,0,0,0,0,3,31,0,5,0,0,0,6.1,0,0,Det,Home,9/12/2023
157,Mack Hollins,Atl,WR,W 24-10,6.3,0,0,0,0,0,0,3,31,0,4,0,0,0,6.1,0,0,Car,Home,9/12/2023
158,Josh Downs,Ind,WR,L 21-31,5.1,0,0,0,0,0,0,3,30,0,7,0,0,0,6,0,0,Jax,Home,9/12/2023
159,Xavier Gipson,NYJ,WR,W 22-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,Buf,Home,9/12/2023
160,Odell Beckham Jr.,Bal,WR,W 25-9,10.8,0,0,0,0,0,0,2,37,0,3,0,0,0,5.7,0,0,Hou,Home,9/12/2023
161,AJ Dillon,GB,RB,W 38-20,11.2,0,0,0,13,19,0,2,17,0,3,0,0,0,5.6,0,0,Chi,Away,9/12/2023
162,Dawson Knox,Buf,TE,L 16-22,6.9,0,0,0,0,0,0,3,25,0,4,0,0,0,5.5,0,0,NYJ,Away,9/12/2023
163,Alec Ingold,Mia,RB,W 36-34,2.3,0,0,0,0,0,0,2,34,0,2,0,0,0,5.4,0,0,LAC,Away,9/12/2023
164,Najee Harris,Pit,RB,L 7-30,13.6,0,0,0,6,31,0,2,2,0,2,0,0,0,5.3,0,0,SF,Home,9/12/2023
165,Tank Bigsby,Jax,RB,W 31-21,5.9,0,0,0,7,13,1,0,0,0,1,0,1,0,5.3,0,0,Ind,Away,9/12/2023
166,Gabe Davis,Buf,WR,L 16-22,10.1,0,0,0,0,0,0,2,32,0,4,0,0,0,5.2,0,0,NYJ,Away,9/12/2023
167,Gus Edwards,Bal,RB,W 25-9,5.4,0,0,0,8,32,0,0,0,0,0,0,0,0,5.2,0,0,Hou,Home,9/12/2023
168,Terry McLaurin,Wsh,WR,W 20-16,13.1,0,0,0,0,0,0,2,31,0,4,0,0,0,5.1,0,0,Ari,Home,9/12/2023
169,Brandon Johnson,Den,WR,L 16-17,6.1,0,0,0,0,0,0,2,31,0,3,0,0,0,5.1,0,0,LV,Home,9/12/2023
170,George Kittle,SF,TE,W 30-7,10.5,0,0,0,0,0,0,3,19,0,6,0,0,0,4.9,0,0,Pit,Away,9/12/2023
171,Noah Brown,Hou,WR,L 9-25,5.4,0,0,0,1,-1,0,3,20,0,4,0,0,0,4.9,0,0,Bal,Away,9/12/2023
172,Mike Boone,Hou,RB,L 9-25,1.5,0,0,0,0,0,0,3,18,0,4,0,0,0,4.8,0,0,Bal,Away,9/12/2023
173,Treylon Burks,Ten,WR,L 15-16,9.8,0,0,0,1,9,0,2,18,0,3,0,0,0,4.7,0,0,NO,Away,9/12/2023
174,Irv Smith Jr.,Cin,TE,L 3-24,6.8,0,0,0,0,0,0,3,17,0,5,0,0,0,4.7,0,0,Cle,Away,9/12/2023
175,DJ Moore,Chi,WR,L 20-38,12.7,0,0,0,0,0,0,2,25,0,2,0,0,0,4.5,0,0,GB,Home,9/12/2023
176,Darius Slayton,NYG,WR,L 0-40,6.9,0,0,0,0,0,0,3,15,0,5,0,0,0,4.5,0,0,Dal,Home,9/12/2023
177,Daniel Jones,NYG,QB,L 0-40,17.5,104,0,2,13,43,0,0,0,0,0,0,0,0,4.46,15,28,Dal,Home,9/12/2023
178,David Njoku,Cle,TE,W 24-3,10,0,0,0,0,0,0,2,24,0,3,0,0,0,4.4,0,0,Cin,Home,9/12/2023
179,D'Onta Foreman,Chi,RB,L 20-38,5.2,0,0,0,5,16,0,2,8,0,3,0,0,0,4.4,0,0,GB,Home,9/12/2023
180,Sean Tucker,TB,RB,W 20-17,4.4,0,0,0,5,15,0,2,9,0,2,0,0,0,4.4,0,0,Min,Away,9/12/2023
181,Gerald Everett,LAC,TE,L 34-36,7.5,0,0,0,1,2,0,2,21,0,3,0,0,0,4.3,0,0,Mia,Home,9/12/2023
182,Trey McBride,Ari,TE,L 16-20,4.4,0,0,0,0,0,0,2,23,0,2,0,0,0,4.3,0,0,Wsh,Away,9/12/2023
183,Terrace Marshall Jr.,Car,WR,L 10-24,6.5,0,0,0,0,0,0,2,23,0,6,0,0,0,4.3,0,0,Atl,Away,9/12/2023
